date,home_team,away_team,home_score,away_score,result,p_A,p_D,p_H,predicted,correct
2026-06-11,Mexico,South Africa,2.0,0.0,H,0.038702674,0.1469275,0.81436986,H,True
2026-06-11,South Korea,Czech Republic,2.0,1.0,H,0.26802778,0.25758955,0.4743827,H,True
2026-06-12,Canada,Bosnia and Herzegovina,1.0,1.0,D,0.06701871,0.14310265,0.78987867,H,False
2026-06-12,United States,Paraguay,4.0,1.0,H,0.29830816,0.27460474,0.42708713,H,True
2026-06-13,Qatar,Switzerland,1.0,1.0,D,0.7703702,0.14384137,0.08578844,A,False
2026-06-13,Brazil,Morocco,1.0,1.0,D,0.30079708,0.26929456,0.4299084,H,False
2026-06-13,Haiti,Scotland,0.0,1.0,A,0.5187735,0.23366444,0.24756205,A,True
2026-06-13,Australia,Turkey,2.0,0.0,H,0.4828111,0.25063294,0.26655594,A,False
2026-06-14,Netherlands,Japan,2.0,2.0,D,0.34480405,0.27177218,0.38342378,H,False
2026-06-14,Germany,Curaçao,7.0,1.0,H,0.055155553,0.12783247,0.81701195,H,True
2026-06-14,Ivory Coast,Ecuador,1.0,0.0,H,0.54940784,0.26285928,0.18773286,A,False
2026-06-14,Sweden,Tunisia,5.0,1.0,H,0.32637072,0.2514823,0.42214692,H,True
2026-06-15,Saudi Arabia,Uruguay,1.0,1.0,D,0.6882519,0.1886014,0.12314666,A,False
2026-06-15,Spain,Cape Verde,0.0,0.0,D,0.03515198,0.1572914,0.80755657,H,False
2026-06-15,Belgium,Egypt,1.0,1.0,D,0.18471833,0.2252052,0.59007645,H,False
2026-06-15,Iran,New Zealand,2.0,2.0,D,0.15863514,0.23772967,0.6036352,H,False
2026-06-16,France,Senegal,3.0,1.0,H,0.15875813,0.18157648,0.65966535,H,True
2026-06-16,Iraq,Norway,1.0,4.0,A,0.6443105,0.19291514,0.16277434,A,True
2026-06-16,Argentina,Algeria,3.0,0.0,H,0.14140497,0.1592039,0.69939107,H,True
2026-06-16,Austria,Jordan,3.0,1.0,H,0.1976303,0.21516497,0.5872047,H,True
2026-06-17,Ghana,Panama,1.0,0.0,H,0.57568073,0.23181109,0.19250812,A,False
2026-06-17,England,Croatia,4.0,2.0,H,0.21831834,0.2229336,0.55874807,H,True
2026-06-17,Uzbekistan,Colombia,1.0,3.0,A,0.68362314,0.18368371,0.13269317,A,True
2026-06-17,Portugal,DR Congo,1.0,1.0,D,0.09172085,0.18685846,0.7214207,H,False
2026-06-18,Canada,Qatar,6.0,0.0,H,0.06421027,0.14219432,0.7935954,H,True
2026-06-18,Switzerland,Bosnia and Herzegovina,4.0,1.0,H,0.09400896,0.2177509,0.6882401,H,True
2026-06-18,Czech Republic,South Africa,1.0,1.0,D,0.20216833,0.2304347,0.567397,H,False
